"ID";"Gender";"Age";"Periods";"PersonalCareTotal_1";"SleepingResting_2";"WashingDressing_3";"EatingAtHome_4";"LookingAfterOthersTotal_5";"LookAfterPlayWithOneSOwnChildren_6";"LookAfterPlayWithOtherChildren_7";"LookAfterPlayWithOwnOtherChildren_8";"LookAfterRelativesInTheHousehold_9";"LookAfterRelativesOutsideHousehold_10";"LookAfterOthersOtherwise_11";"TravellingTimeTotal_12";"PaidJobsTotal_13";"EducationTotal_14";"AttendLessonsLecturesCourses_15";"DoingHomeworkStudying_16";"HouseholdJobsTotal_17";"ShoppingBankMailEtc_18";"AppointmentWithGPHairdresserEtc_19";"CleaningTheHouse_20";"HouseholdJobs_21";"PreparingFoodAndDrinks_22";"DoingLaundryIroningAndSewingEtc_23";"TakingCareOfPets_24";"MaintenanceJobsOddJobsGardening_25";"VolunteerWorkTotal_26";"WorkForReligiousPoliticalOrgan_27";"WorkForEducationalCaringOrgan_28";"WorkForSportsCulturalOrganisation_29";"LeisureActivitiesTotal_30";"Sports_31";"TVVideoRadioCDsCassettes_32";"ContactFamilyFriendsAcquaintances_33";"GoingToChurchMosqueEtc_34";"VisitRestaurantPubDiscothequeEtc_35";"Reading_36";"WalkingCycling_37";"VisitMuseumTheatreEtc_38";"GamesHobbiesMusicActing_39";"DoingNothingRelaxing_40";"OtherOrUnknownActivities_41";"PersonalCareTotal_42";"SleepingResting_43";"WashingDressing_44";"EatingAtHome_45";"LookingAfterOthersTotal_46";"LookAfterPlayWithOneSOwnChildren_47";"LookAfterPlayWithOtherChildren_48";"LookAfterPlayWithOwnOtherChildren_49";"LookAfterRelativesInTheHousehold_50";"LookAfterRelativesOutsideHousehold_51";"LookAfterOthersOtherwise_52";"TravellingTimeTotal_53";"PaidJobsTotal_54";"EducationTotal_55";"AttendLessonsLecturesCourses_56";"DoingHomeworkStudying_57";"HouseholdJobsTotal_58";"ShoppingBankMailEtc_59";"AppointmentWithGPHairdresserEtc_60";"CleaningTheHouse_61";"HouseholdJobs_62";"PreparingFoodAndDrinks_63";"DoingLaundryIroningAndSewingEtc_64";"TakingCareOfPets_65";"MaintenanceJobsOddJobsGardening_66";"VolunteerWorkTotal_67";"WorkForReligiousPoliticalOrgan_68";"WorkForEducationalCaringOrgan_69";"WorkForSportsCulturalOrganisation_70";"LeisureActivitiesTotal_71";"Sports_72";"TVVideoRadioCDsCassettes_73";"ContactFamilyFriendsAcquaintances_74";"GoingToChurchMosqueEtc_75";"VisitRestaurantPubDiscothequeEtc_76";"SpendTimeReading_77";"WalkingCycling_78";"VisitMuseumTheatreEtc_79";"GamesHobbiesMusicActing_80";"DoingNothingRelaxing_81";"OtherOrUnknownActivities_82"
"0";"3";"1";"1997JJ00";"10:52";" 8:30 ";" 0:42 ";" 1:40 ";" 0:36 ";" 0:21 ";" 0:04 ";" 0:03 ";" 0:04 ";" 0:02 ";" 0:02 ";" 0:48 ";" 2:26 ";" 0:37 ";" 0:25 ";" 0:11 ";" 1:54 ";" 0:30 ";" 0:04 ";" 0:34 ";" .    ";" .    ";" 0:13 ";" 0:08 ";" 0:24 ";" 0:11 ";" 0:03 ";" 0:03 ";" 0:05 ";" 6:02 ";" 0:17 ";" 2:02 ";" 1:33 ";" .    ";" 0:22 ";" 0:33 ";" 0:12 ";" 0:08 ";" 0:19 ";" 0:36 ";" 0:35 ";"     100";"     100";"      92";"      95";"      26";"      18";"       3";"       3";"       5";"       2";"       3";"      58";"      33";"      13";"       9";"       8";"      68";"      33";"       6";"      37";"       .";"       .";"      17";"      13";"      16";"       7";"       2";"       2";"       3";"      98";"      13";"      73";"      49";"       .";"      13";"      34";"      11";"       5";"      14";"      33";"      31"
"1";"3";"1";"1999JJ00";"10:13";" 8:31 ";" 0:38 ";" 1:04 ";" 0:31 ";" 0:21 ";" 0:04 ";" .    ";" 0:02 ";" 0:02 ";" 0:03 ";" 0:53 ";" 2:38 ";" 0:31 ";" 0:21 ";" 0:11 ";" 2:36 ";" 0:30 ";" 0:05 ";" .    ";" 0:56 ";" 0:28 ";" .    ";" 0:10 ";" 0:27 ";" 0:11 ";" 0:03 ";" 0:03 ";" 0:05 ";" 5:53 ";" 0:16 ";" 2:00 ";" 1:24 ";" 0:04 ";" 0:17 ";" 0:34 ";" 0:12 ";" 0:08 ";" 0:29 ";" 0:30 ";" 0:33 ";"     100";"     100";"      91";"      91";"      26";"      19";"       4";"       .";"       2";"       1";"       4";"      57";"      34";"      12";"       7";"       8";"      77";"      35";"       6";"       .";"      50";"      45";"       .";"      17";"      17";"       6";"       2";"       2";"       3";"      97";"      13";"      74";"      46";"       3";"      10";"      34";"      10";"       5";"      21";"      30";"      30"
"2";"3";"1";"2001JJ00";"10:15";" 8:30 ";" 0:38 ";" 1:07 ";" 0:29 ";" 0:21 ";" 0:03 ";" .    ";" 0:02 ";" 0:02 ";" 0:01 ";" 0:54 ";" 2:47 ";" 0:34 ";" 0:25 ";" 0:09 ";" 2:27 ";" 0:30 ";" 0:04 ";" .    ";" 0:53 ";" 0:26 ";" .    ";" 0:08 ";" 0:25 ";" 0:11 ";" 0:03 ";" 0:03 ";" 0:05 ";" 5:55 ";" 0:20 ";" 1:57 ";" 1:26 ";" 0:04 ";" 0:18 ";" 0:32 ";" 0:10 ";" 0:09 ";" 0:31 ";" 0:29 ";" 0:27 ";"     100";"     100";"      92";"      92";"      23";"      19";"       3";"       .";"       2";"       1";"       1";"      59";"      36";"      12";"       9";"       7";"      76";"      34";"       6";"       .";"      49";"      42";"       .";"      14";"      16";"       7";"       2";"       2";"       3";"      98";"      15";"      74";"      49";"       4";"      11";"      32";"      10";"       5";"      23";"      29";"      27"
"3";"3";"1";"2003JJ00";"10:14";" 8:32 ";" 0:36 ";" 1:06 ";" 0:26 ";" 0:20 ";" 0:03 ";" .    ";" 0:01 ";" 0:01 ";" 0:01 ";" 0:56 ";" 2:40 ";" 0:33 ";" 0:24 ";" 0:08 ";" 2:27 ";" 0:31 ";" 0:05 ";" .    ";" 0:52 ";" 0:26 ";" .    ";" 0:10 ";" 0:23 ";" 0:10 ";" 0:02 ";" 0:04 ";" 0:04 ";" 6:09 ";" 0:19 ";" 1:58 ";" 1:29 ";" 0:05 ";" 0:17 ";" 0:32 ";" 0:11 ";" 0:09 ";" 0:37 ";" 0:33 ";" 0:25 ";"     100";"     100";"      92";"      93";"      22";"      18";"       3";"       .";"       1";"       1";"       1";"      63";"      35";"      12";"       9";"       7";"      78";"      35";"       6";"       .";"      49";"      45";"       .";"      16";"      15";"       6";"       2";"       2";"       2";"      99";"      15";"      75";"      50";"       4";"      10";"      33";"      11";"       5";"      27";"      33";"      22"
"4";"3";"2";"1997JJ00";"11:18";" 9:28 ";" 0:40 ";" 1:10 ";" 0:19 ";" 0:04 ";" 0:09 ";" 0:01 ";" 0:01 ";" 0:02 ";" 0:01 ";" 0:45 ";" 0:38 ";" 3:36 ";" 2:52 ";" 0:44 ";" 0:38 ";" 0:17 ";" 0:02 ";" 0:08 ";" .    ";" .    ";" 0:01 ";" 0:05 ";" 0:05 ";" 0:04 ";" 0:00 ";" 0:00 ";" 0:03 ";" 6:07 ";" 0:37 ";" 2:13 ";" 1:31 ";" .    ";" 0:20 ";" 0:13 ";" 0:08 ";" 0:07 ";" 0:31 ";" 0:28 ";" 0:35 ";"     100";"     100";"      97";"      97";"      15";"       6";"       6";"       1";"       2";"       1";"       2";"      70";"      14";"      61";"      50";"      40";"      44";"      19";"       3";"      16";"       .";"       .";"       4";"      11";"       4";"       3";"       1";"       0";"       2";"      99";"      26";"      80";"      46";"       .";"      14";"      19";"       8";"       6";"      22";"      31";"      31"
"5";"3";"2";"1999JJ00";"11:11";" 9:34 ";" 0:37 ";" 1:00 ";" 0:14 ";" 0:03 ";" 0:07 ";" .    ";" 0:01 ";" 0:01 ";" 0:02 ";" 0:58 ";" 0:53 ";" 3:03 ";" 2:23 ";" 0:40 ";" 0:55 ";" 0:19 ";" 0:02 ";" .    ";" 0:09 ";" 0:08 ";" .    ";" 0:07 ";" 0:10 ";" 0:02 ";" 0:00 ";" 0:00 ";" 0:02 ";" 6:02 ";" 0:34 ";" 2:06 ";" 1:16 ";" 0:03 ";" 0:15 ";" 0:16 ";" 0:07 ";" 0:10 ";" 0:47 ";" 0:30 ";" 0:40 ";"     100";"     100";"      94";"      96";"      12";"       4";"       5";"       .";"       1";"       0";"       3";"      66";"      17";"      56";"      43";"      37";"      51";"      21";"       3";"       .";"      20";"      15";"       .";"      11";"       5";"       1";"       0";"       0";"       1";"      98";"      24";"      78";"      43";"       3";"       9";"      19";"       6";"       6";"      36";"      32";"      34"
"6";"3";"2";"2001JJ00";"11:09";" 9:25 ";" 0:40 ";" 1:03 ";" 0:06 ";" 0:03 ";" 0:02 ";" .    ";" 0:01 ";" 0:00 ";" 0:01 ";" 0:58 ";" 0:59 ";" 3:21 ";" 2:38 ";" 0:44 ";" 0:43 ";" 0:17 ";" 0:04 ";" .    ";" 0:08 ";" 0:05 ";" .    ";" 0:02 ";" 0:07 ";" 0:05 ";" 0:00 ";" 0:02 ";" 0:03 ";" 6:11 ";" 0:38 ";" 2:06 ";" 1:23 ";" 0:03 ";" 0:20 ";" 0:12 ";" 0:08 ";" 0:10 ";" 0:47 ";" 0:26 ";" 0:27 ";"     100";"     100";"      95";"      96";"       8";"       5";"       1";"       .";"       1";"       0";"       1";"      75";"      21";"      58";"      50";"      39";"      46";"      16";"       5";"       .";"      17";"      13";"       .";"       7";"       5";"       3";"       0";"       1";"       2";"      98";"      27";"      80";"      48";"       2";"      11";"      16";"       7";"       6";"      35";"      29";"      28"
"7";"3";"2";"2003JJ00";"11:21";" 9:41 ";" 0:37 ";" 1:02 ";" 0:06 ";" 0:01 ";" 0:04 ";" .    ";" 0:01 ";" 0:00 ";" 0:00 ";" 0:59 ";" 0:39 ";" 3:23 ";" 2:41 ";" 0:42 ";" 0:43 ";" 0:17 ";" 0:04 ";" .    ";" 0:10 ";" 0:04 ";" .    ";" 0:05 ";" 0:03 ";" 0:02 ";" 0:00 ";" 0:01 ";" 0:01 ";" 6:21 ";" 0:38 ";" 1:54 ";" 1:24 ";" 0:06 ";" 0:13 ";" 0:11 ";" 0:08 ";" 0:12 ";" 1:06 ";" 0:29 ";" 0:25 ";"     100";"     100";"      96";"      96";"       7";"       4";"       2";"       .";"       1";"       0";"       0";"      74";"      14";"      59";"      48";"      40";"      48";"      16";"       3";"       .";"      21";"      12";"       .";"      12";"       3";"       2";"       0";"       1";"       1";"      99";"      26";"      79";"      47";"       4";"       7";"      18";"       8";"       6";"      47";"      35";"      23"
"8";"3";"3";"1997JJ00";"10:24";" 8:31 ";" 0:40 ";" 1:12 ";" 0:10 ";" 0:03 ";" 0:01 ";" -    ";" 0:00 ";" 0:01 ";" 0:05 ";" 1:07 ";" 3:10 ";" 1:30 ";" 0:54 ";" 0:36 ";" 1:05 ";" 0:26 ";" 0:03 ";" 0:16 ";" .    ";" .    ";" 0:03 ";" 0:04 ";" 0:13 ";" 0:07 ";" 0:01 ";" 0:01 ";" 0:06 ";" 5:53 ";" 0:20 ";" 1:43 ";" 1:50 ";" .    ";" 0:44 ";" 0:15 ";" 0:05 ";" 0:06 ";" 0:19 ";" 0:30 ";" 0:34 ";"     100";"      99";"      93";"      96";"       9";"       4";"       1";"       0";"       0";"       1";"       3";"      72";"      43";"      33";"      20";"      20";"      56";"      30";"       5";"      26";"       .";"       .";"       8";"       9";"       9";"       5";"       1";"       1";"       3";"      98";"      16";"      69";"      56";"       .";"      20";"      22";"       6";"       4";"      14";"      32";"      26"
"9";"3";"3";"1999JJ00";"10:15";" 8:44 ";" 0:41 ";" 0:50 ";" 0:08 ";" 0:04 ";" 0:01 ";" .    ";" 0:00 ";" 0:00 ";" 0:02 ";" 1:09 ";" 3:27 ";" 1:22 ";" 0:50 ";" 0:33 ";" 1:26 ";" 0:25 ";" 0:03 ";" .    ";" 0:24 ";" 0:14 ";" .    ";" 0:05 ";" 0:14 ";" 0:06 ";" 0:01 ";" 0:04 ";" 0:02 ";" 5:44 ";" 0:20 ";" 1:55 ";" 1:32 ";" 0:05 ";" 0:34 ";" 0:13 ";" 0:05 ";" 0:10 ";" 0:23 ";" 0:26 ";" 0:23 ";"     100";"     100";"      92";"      89";"       8";"       4";"       1";"       .";"       0";"       0";"       3";"      73";"      43";"      29";"      18";"      16";"      62";"      31";"       4";"       .";"      35";"      30";"       .";"      11";"       8";"       4";"       1";"       1";"       2";"      97";"      16";"      74";"      50";"       4";"      20";"      17";"       5";"       3";"      18";"      28";"      24"
