"ID";"Regions";"Periods";"NumberOfOrganisations_1";"TheatreHalls_2";"StadiumsAndMultiPurposeHalls_3";"InTheatreHalls_4";"InStadiumsAndMultiPurposeHalls_5";"TotalPerformances_6";"TheatrePerformances_7";"MusicalPerformances_8";"DancePerformances_9";"MusicTheatrePerformances_10";"CabaretPerformances_11";"OtherPerformances_12";"TotalAttendance_13";"TheatrePerformances_14";"MusicalPerformances_15";"DancePerformances_16";"MusicTheatrePerformances_17";"CabaretPerformances_18";"AttendanceOtherPerformances_19"
"0";"NL01   ";"1999JJ00";"     334";"     407";"     160";"  164525";"  163964";"   38183";"   12686";"   10421";"    3045";"    3922";"    5589";"    2522";"   14302";"    1987";"    5372";"    1164";"    2390";"    1961";"    1428"
"1";"NL01   ";"2000JJ00";"     330";"     407";"     160";"  165574";"  163964";"   39537";"   13512";"   10664";"    2633";"    3795";"    5460";"    3472";"   14560";"    2073";"    5580";"     943";"    2591";"    1948";"    1424"
"2";"NL01   ";"2001JJ00";"     322";"     421";"     160";"  171987";"  163964";"   41204";"   13065";"   12303";"    2210";"    4125";"    5621";"    3879";"   15667";"    2330";"    6055";"     796";"    2687";"    2052";"    1750"
"3";"NL01   ";"2002JJ00";"     318";"     433";"     164";"  179572";"  164964";"   43373";"   14204";"   12595";"    2784";"    4184";"    5926";"    3680";"   16085";"    2244";"    6137";"     919";"    2979";"    2078";"    1729"
"4";"NL01   ";"2003JJ00";"     309";"     436";"       .";"  187423";"       .";"   46155";"   14037";"   13086";"    3188";"    4817";"    6395";"    4631";"   16024";"    2239";"    6200";"     912";"    3460";"    2194";"    1020"
"5";"NL01   ";"2004JJ00";"     307";"     434";"       .";"  191383";"       .";"   45998";"   13565";"   14365";"    2742";"    4258";"    7018";"    4049";"   15604";"    1988";"    6637";"     726";"    2979";"    2412";"     861"
"6";"NL01   ";"2005JJ00";"     336";"     502";"     136";"  240481";"  308822";"   53785";"   14462";"   17697";"    3327";"    5474";"    8437";"    4389";"   18387";"    2359";"    7543";"     746";"    4033";"    2684";"    1022"
"7";"NL01   ";"2006JJ00";"     338";"     499";"     134";"  248762";"  284337";"   54796";"   14810";"   18182";"    3310";"    5914";"    8418";"    4162";"   19054";"    2141";"    8105";"     990";"    4258";"    2553";"    1007"
"8";"NL01   ";"2007JJ00";"     341";"     533";"     164";"  262301";"  298054";"   57391";"   15912";"   18250";"    3476";"    6007";"    8806";"    4940";"   19317";"    2220";"    8424";"     788";"    3815";"    2697";"    1373"
"9";"NL01   ";"2008JJ00";"     340";"     511";"     120";"  267869";"  312276";"   58179";"   16855";"   18888";"    2787";"    6881";"    8470";"    4297";"   20291";"    2247";"    8216";"     778";"    4570";"    2725";"    1756"
"10";"NL01   ";"2009JJ00";"     339";"     522";"     134";"  249374";"  212183";"   58364";"   16092";"   21399";"    3384";"    5842";"    7501";"    4146";"   19581";"    2503";"    8623";"     663";"    3810";"    2474";"    1509"
"11";"NL01   ";"2010JJ00";"     343";"     528";"     104";"  255544";"  217195";"   55933";"   17264";"   18218";"    2461";"    5638";"    7317";"    5035";"   19149";"    2593";"    7896";"     757";"    3572";"    2386";"    1944"
"12";"NL01   ";"2011JJ00";"     350";"     537";"     101";"  237792";"  175606";"   59004";"   18654";"   18684";"    2777";"    5731";"    8261";"    4897";"   19204";"    2584";"    7928";"     700";"    3447";"    2483";"    2062"
"13";"NL01   ";"2012JJ00";"     345";"     530";"      99";"  259093";"  188868";"   54880";"   17371";"   17755";"    2225";"    5057";"    7525";"    4947";"   17064";"    2435";"    7588";"     573";"    2853";"    2121";"    1493"
"14";"NL01   ";"2013JJ00";"     336";"     522";"     112";"  251785";"  198418";"   50692";"   14115";"   18041";"    2295";"    4460";"    7847";"    3934";"   17685";"    2554";"    8257";"     702";"    2398";"    2281";"    1493"
