"ID";"Regions";"Periods";"NumberOfMuseums_1";"UpTo2500Visits_2";"Between2500And10000Visits_3";"Between10000And25000Visits_4";"Between25000And50000Visits_5";"Between50000And100000Visits_6";"k_100000AndMoreVisits_7";"TotalVisits_8";"PaidVisits_9";"MuseumCardAndFreeVisits_10";"AverageNumberOfVisitsPerMuseum_11";"ForeignVisits_12";"TotalEmployees_13";"OnPayroll_14";"OtherPaidStaff_15";"TotalFTE_16";"OnPayroll_17";"OtherPaidStaff_18";"NumberOfVolunteers_19";"FTEs_20"
"0";"NL  ";"1995JJ00";"     744";"      28";"      31";"      20";"      10";"       5";"       6";"   21921";"   14384";"    7537";"      29";"       .";"    6320";"    5115";"    1205";"    4896";"    4065";"     830";"       .";"       ."
"1";"NL  ";"1997JJ00";"     942";"      39";"      28";"      16";"       8";"       5";"       4";"   20266";"   14578";"    5687";"      22";"       .";"    6708";"    5312";"    1396";"    5071";"    3942";"    1129";"       .";"       ."
"2";"NL  ";"1999JJ00";"     902";"      35";"      29";"      19";"       8";"       5";"       4";"   20679";"   14012";"    6667";"      23";"    3969";"    7694";"    6148";"    1545";"    5198";"    4404";"     794";"   16205";"       ."
"3";"NL  ";"2001JJ00";"     873";"      36";"      28";"      18";"       8";"       5";"       5";"   20488";"   14399";"    6089";"      23";"    4603";"    8285";"    6283";"    2002";"    5478";"    4424";"    1054";"   17888";"    2330"
"4";"NL  ";"2003JJ00";"     828";"      32";"      33";"      18";"       8";"       5";"       5";"   19558";"   13593";"    5965";"      24";"    4223";"    8496";"    6567";"    1929";"    5837";"    4731";"    1106";"   19693";"    2357"
"5";"NL  ";"2005JJ00";"     775";"      31";"      32";"      19";"       9";"       5";"       5";"   19648";"   13527";"    6121";"      25";"    4711";"    8143";"    6563";"    1580";"    5696";"    4860";"     836";"   19667";"    2679"
"6";"NL  ";"2007JJ00";"     773";"      31";"      31";"      19";"       9";"       5";"       5";"   20540";"   14205";"    6335";"      27";"    5437";"    8598";"    6760";"    1839";"    6016";"    5013";"    1003";"   21329";"    3015"
"7";"NL  ";"2009JJ00";"     810";"      31";"      32";"      17";"       9";"       5";"       6";"   22037";"   13439";"    8598";"      27";"    3304";"    9146";"    6938";"    2208";"    6380";"    5284";"    1096";"   23720";"    3559"
"8";"LD01";"1995JJ00";"     130";"      31";"      33";"      20";"      10";"       3";"       2";"    3703";"    1501";"    2202";"      28";"       .";"     540";"     385";"     155";"     415";"     285";"     130";"       .";"       ."
"9";"LD01";"1997JJ00";"     165";"      43";"      29";"      16";"       7";"       4";"       1";"    1962";"    1305";"     656";"      12";"       .";"     631";"     376";"     255";"     443";"     266";"     176";"       .";"       ."
"10";"LD01";"1999JJ00";"     161";"      42";"      34";"      13";"       6";"       5";"       1";"    1778";"    1234";"     544";"      11";"     147";"     716";"     489";"     227";"     432";"     303";"     129";"       .";"       ."
"11";"LD01";"2001JJ00";"     160";"      39";"      32";"      16";"       7";"       5";"       1";"    1833";"    1312";"     522";"      12";"     134";"     911";"     517";"     394";"     542";"     332";"     210";"    2884";"     324"
"12";"LD01";"2003JJ00";"     145";"      35";"      36";"      15";"       9";"       3";"       2";"    1890";"    1328";"     561";"      13";"     283";"     795";"     548";"     247";"     489";"     331";"     158";"    2929";"     297"
"13";"LD01";"2005JJ00";"     147";"      37";"      35";"      15";"       7";"       4";"       2";"    1882";"    1373";"     510";"      13";"     211";"     735";"     538";"     197";"     508";"     386";"     123";"    3038";"     409"
"14";"LD01";"2007JJ00";"     141";"      37";"      33";"      16";"       7";"       5";"       2";"    1967";"    1448";"     519";"      14";"     404";"     804";"     569";"     235";"     533";"     407";"     129";"    3166";"     382"
"15";"LD01";"2009JJ00";"     142";"      35";"      34";"      16";"       9";"       3";"       3";"    2157";"    1495";"     661";"      15";"      43";"     787";"     552";"     235";"     490";"     393";"      97";"    3592";"     523"
"16";"LD02";"1995JJ00";"     170";"      30";"      32";"      21";"      11";"       3";"       4";"    3859";"    2971";"     888";"      23";"       .";"    1000";"     825";"     175";"     805";"     665";"     140";"       .";"       ."
"17";"LD02";"1997JJ00";"     218";"      40";"      29";"      15";"      10";"       3";"       3";"    4101";"    3193";"     908";"      19";"       .";"    1334";"    1040";"     295";"     975";"     730";"     245";"       .";"       ."
"18";"LD02";"1999JJ00";"     214";"      38";"      25";"      21";"      11";"       2";"       3";"    3783";"    2588";"    1195";"      18";"     625";"    1238";"    1010";"     228";"     814";"     679";"     135";"       .";"       ."
"19";"LD02";"2001JJ00";"     208";"      40";"      27";"      19";"      10";"       2";"       3";"    3488";"    2341";"    1147";"      17";"     509";"    1451";"    1063";"     388";"     868";"     700";"     168";"    4241";"     497"
"20";"LD02";"2003JJ00";"     193";"      35";"      32";"      20";"       9";"       2";"       3";"    3390";"    2373";"    1017";"      18";"     712";"    1421";"    1111";"     310";"     897";"     728";"     169";"    5332";"     639"
"21";"LD02";"2005JJ00";"     182";"      35";"      28";"      22";"      10";"       2";"       4";"    3656";"    2424";"    1232";"      20";"     653";"    1420";"    1134";"     286";"     956";"     821";"     135";"    5369";"     655"
"22";"LD02";"2007JJ00";"     171";"      33";"      27";"      22";"      11";"       2";"       4";"    3446";"    2296";"    1150";"      20";"     667";"    1426";"    1140";"     285";"    1023";"     841";"     181";"    4855";"     657"
"23";"LD02";"2009JJ00";"     188";"      29";"      34";"      21";"      11";"       3";"       3";"    3734";"    2344";"    1390";"      20";"     239";"    1599";"    1326";"     273";"    1061";"     923";"     138";"    6117";"    1022"
"24";"LD03";"1995JJ00";"     315";"      25";"      29";"      19";"      11";"       7";"       9";"   12181";"    8318";"    3863";"      39";"       .";"    4100";"    3445";"     655";"    3189";"    2788";"     401";"       .";"       ."
"25";"LD03";"1997JJ00";"     408";"      37";"      26";"      16";"       7";"       7";"       7";"   12131";"    8597";"    3533";"      30";"       .";"    3982";"    3391";"     593";"    3059";"    2555";"     504";"       .";"       ."
"26";"LD03";"1999JJ00";"     391";"      29";"      32";"      19";"       6";"       7";"       7";"   12848";"    8693";"    4155";"      33";"    3031";"    4958";"    4082";"     876";"    3468";"    3058";"     410";"       .";"       ."
"27";"LD03";"2001JJ00";"     387";"      33";"      29";"      17";"       7";"       6";"       7";"   13087";"    9334";"    3753";"      34";"    3813";"    5161";"    4200";"     961";"    3595";"    3063";"     532";"    8392";"    1244"
"28";"LD03";"2003JJ00";"     369";"      29";"      32";"      18";"       7";"       6";"       8";"   12632";"    8852";"    3779";"      34";"    3025";"    5483";"    4429";"    1054";"    3888";"    3285";"     603";"    8711";"    1132"
"29";"LD03";"2005JJ00";"     336";"      27";"      32";"      20";"       7";"       7";"       8";"   12268";"    8585";"    3684";"      37";"    3553";"    5277";"    4431";"     846";"    3715";"    3272";"     443";"    8540";"    1231"
"30";"LD03";"2007JJ00";"     337";"      27";"      30";"      21";"       7";"       7";"       8";"   13214";"    9312";"    3903";"      39";"    4027";"    5516";"    4416";"    1100";"    3915";"    3335";"     580";"    9804";"    1430"
