"Time","Region Code","Region","Number of dwellings【number of dwelling units】","Annotation"
"1978","01000","Hokkaido","1744500",""
"1978","02000","Aomori-ken","411400",""
"1978","03000","Iwate-ken","384300",""
"1978","04000","Miyagi-ken","578700",""
"1978","05000","Akita-ken","338100",""
"1978","06000","Yamagata-ken","318000",""
"1978","07000","Fukushima-ken","539100",""
"1978","08000","Ibaraki-ken","664000",""
"1978","09000","Tochigi-ken","488000",""
"1978","10000","Gumma-ken","513900",""
"1978","11000","Saitama-ken","1554500",""
"1978","12000","Chiba-ken","1375500",""
"1978","13000","Tokyo-to","4239200",""
"1978","14000","Kanagawa-ken","2133500",""
"1978","15000","Niigata-ken","636100",""
"1978","16000","Toyama-ken","289800",""
"1978","17000","Ishikawa-ken","310700",""
"1978","18000","Fukui-ken","210600",""
"1978","19000","Yamanashi-ken","229600",""
"1978","20000","Nagano-ken","596900",""
"1978","21000","Gifu-ken","535300",""
"1978","22000","Shizuoka-ken","970300",""
"1978","23000","Aichi-ken","1842500",""
"1978","24000","Mie-ken","477300",""
"1978","25000","Shiga-ken","293500",""
"1978","26000","Kyoto-fu","788600",""
"1978","27000","Osaka-fu","2848800",""
"1978","28000","Hyogo-ken","1615300",""
"1978","29000","Nara-ken","331900",""
"1978","30000","Wakayama-ken","349400",""
"1978","31000","Tottori-ken","165300",""
"1978","32000","Shimane-ken","223500",""
"1978","33000","Okayama-ken","556500",""
"1978","34000","Hiroshima-ken","864600",""
"1978","35000","Yamaguchi-ken","497700",""
"1978","36000","Tokushima-ken","243700",""
"1978","37000","Kagawa-ken","300800",""
"1978","38000","Ehime-ken","477400",""
"1978","39000","Kochi-ken","278800",""
"1978","40000","Fukuoka-ken","1400800",""
"1978","41000","Saga-ken","221600",""
"1978","42000","Nagasaki-ken","459300",""
"1978","43000","Kumamoto-ken","507000",""
"1978","44000","Oita-ken","375500",""
"1978","45000","Miyazaki-ken","355800",""
"1978","46000","Kagoshima-ken","609400",""
"1978","47000","Okinawa-ken","303000",""
"1983","01000","Hokkaido","1923800",""
"1983","02000","Aomori-ken","444900",""
"1983","03000","Iwate-ken","413500",""
"1983","04000","Miyagi-ken","632700",""
"1983","05000","Akita-ken","353600",""
"1983","06000","Yamagata-ken","333900",""
"1983","07000","Fukushima-ken","578000",""
"1983","08000","Ibaraki-ken","763800",""
"1983","09000","Tochigi-ken","531200",""
"1983","10000","Gumma-ken","564400",""
"1983","11000","Saitama-ken","1754400",""
"1983","12000","Chiba-ken","1587800",""
"1983","13000","Tokyo-to","4528200",""
"1983","14000","Kanagawa-ken","2374200",""
"1983","15000","Niigata-ken","690900",""
"1983","16000","Toyama-ken","302100",""
"1983","17000","Ishikawa-ken","341400",""
"1983","18000","Fukui-ken","221800",""
"1983","19000","Yamanashi-ken","252700",""
"1983","20000","Nagano-ken","647400",""
"1983","21000","Gifu-ken","577600",""
"1983","22000","Shizuoka-ken","1050600",""
"1983","23000","Aichi-ken","1994100",""
"1983","24000","Mie-ken","518300",""
"1983","25000","Shiga-ken","321800",""
"1983","26000","Kyoto-fu","885800",""
"1983","27000","Osaka-fu","3053700",""
"1983","28000","Hyogo-ken","1738100",""
"1983","29000","Nara-ken","374300",""
"1983","30000","Wakayama-ken","364300",""
"1983","31000","Tottori-ken","180200",""
"1983","32000","Shimane-ken","233300",""
"1983","33000","Okayama-ken","594600",""
"1983","34000","Hiroshima-ken","935400",""
"1983","35000","Yamaguchi-ken","532400",""
"1983","36000","Tokushima-ken","263700",""
"1983","37000","Kagawa-ken","320400",""
"1983","38000","Ehime-ken","512500",""
"1983","39000","Kochi-ken","299000",""
"1983","40000","Fukuoka-ken","1545300",""
"1983","41000","Saga-ken","237900",""
"1983","42000","Nagasaki-ken","495600",""
"1983","43000","Kumamoto-ken","547700",""
"1983","44000","Oita-ken","399400",""
"1983","45000","Miyazaki-ken","387800",""
"1983","46000","Kagoshima-ken","664000",""
"1983","47000","Okinawa-ken","338200",""
"1988","01000","Hokkaido","2092500",""
