source,target,value
0,1,14
0,18,16
0,22,2
0,17,3
0,24,2
0,15,11
1,2,1
1,4,1
1,5,26
1,9,1
1,10,9
1,11,2
1,12,22
1,14,2
1,15,16
1,16,2
1,17,6
1,18,22
1,19,2
1,20,2
1,21,8
1,22,1
1,24,2
1,25,2
1,27,1
1,28,1
1,29,1
1,30,2
1,31,2
1,32,2
1,33,1
2,35,1
2,4,1
2,6,1
2,7,8
2,8,1
2,9,5
2,11,2
2,23,3
2,15,1
3,4,1
4,5,1
4,6,1
5,32,3
5,10,7
5,11,1
5,12,12
5,14,2
5,15,1
5,16,3
5,18,5
5,21,1
5,30,2
5,31,1
6,8,1
7,8,2
7,9,3
7,23,1
9,34,1
9,35,1
9,23,3
9,10,3
9,11,1
9,12,2
9,29,2
9,15,1
10,16,2
10,18,2
10,11,3
10,12,7
10,14,1
10,15,7
11,12,1
11,15,1
12,35,1
12,13,2
12,14,2
12,15,9
12,16,1
12,18,8
12,19,2
12,21,3
12,24,1
12,25,1
12,26,2
12,27,1
12,29,1
14,18,1
14,15,2
15,17,3
15,18,16
15,19,2
15,20,1
15,21,5
15,22,2
15,24,1
15,26,1
15,27,1
16,18,4
16,36,4
16,37,2
17,18,4
17,22,1
17,24,1
18,19,2
18,20,2
18,21,7
18,22,3
18,24,3
18,25,2
18,27,1
18,28,1
18,30,3
18,31,2
18,32,3
18,33,1
18,36,2
18,37,1
19,21,1
19,27,1
21,24,1
21,27,1
22,24,1
23,35,1
24,25,1
25,28,1
26,27,1
29,34,1
30,32,4
30,33,1
30,31,3
31,32,3
31,33,1
32,33,1
36,37,2
