Id,name,value,colour
0,QUI-GON,60,#4f4fb1
1,NUTE GUNRAY,18,#808080
2,PK-4,2,#808080
3,TC-14,4,#808080
4,OBI-WAN,33,#48D1CC
5,DOFINE,3,#808080
6,RUNE,10,#808080
7,TEY HOW,4,#808080
8,EMPEROR,13,#191970
9,CAPTAIN PANAKA,19,#808080
10,SIO BIBBLE,7,#808080
11,JAR JAR,35,#9a9a00
12,TARPALS,3,#808080
13,BOSS NASS,4,#808080
14,PADME,30,#DDA0DD
15,RIC OLIE,11,#808080
16,WATTO,7,#808080
17,ANAKIN,40,#ce3b59
18,SEBULBA,3,#808080
19,JIRA,3,#808080
20,SHMI,10,#808080
21,C-3PO,5,#FFD700
22,DARTH MAUL,5,#808080
23,KITSTER,4,#808080
24,WALD,3,#808080
25,FODE/BEED,11,#808080
26,JABBA,3,#808080
27,GREEDO,2,#808080
28,VALORUM,3,#808080
29,MACE WINDU,5,#808080
30,KI-ADI-MUNDI,4,#808080
31,YODA,6,#9ACD32
32,RABE,2,#808080
33,BAIL ORGANA,2,#808080
34,GENERAL CEEL,4,#808080
35,BRAVO TWO,5,#808080
36,BRAVO THREE,3,#808080
