source,target,value
0,8,1
0,9,2
0,10,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,1
1,7,2
1,8,2
1,9,1
1,27,1
2,3,1
2,4,1
2,5,1
2,7,1
2,8,1
2,9,1
3,8,1
4,27,2
4,5,8
4,6,1
4,7,2
4,8,1
4,9,4
4,10,1
4,11,2
5,11,1
5,6,1
5,7,2
5,8,1
5,9,5
5,10,1
5,27,2
6,31,1
6,7,1
7,8,1
7,9,1
8,9,3
8,10,3
8,11,1
9,10,13
9,11,2
9,12,1
9,17,5
9,18,6
9,19,1
9,20,1
9,27,2
9,28,1
9,29,1
9,30,1
10,11,16
10,13,1
10,14,1
10,15,1
10,16,3
10,21,1
10,22,3
10,23,3
10,24,1
10,25,2
10,26,1
10,27,2
10,28,1
10,29,1
10,30,1
11,14,1
11,15,1
11,16,1
11,22,5
11,23,4
11,24,1
11,25,2
11,27,3
11,28,1
11,29,1
11,30,1
14,16,1
14,15,2
15,16,1
17,18,2
17,19,2
17,20,1
19,20,3
20,27,1
22,24,1
22,25,1
22,23,2
23,24,1
23,25,2
24,25,1
27,28,1
27,29,1
27,30,1
28,29,2
28,30,2
29,30,2
