source,target,value
0,1,2
0,2,10
0,3,2
0,4,1
0,5,4
0,6,1
0,7,1
0,8,2
0,9,6
0,10,3
0,11,11
0,12,5
0,13,11
0,15,3
0,16,1
0,17,1
0,22,1
0,23,4
0,24,3
0,28,2
0,32,2
0,33,2
1,2,17
1,3,1
1,4,3
1,31,1
1,9,1
1,11,6
1,28,8
1,13,14
1,30,1
1,29,1
2,3,4
2,4,6
2,5,2
2,6,1
2,7,1
2,9,5
2,10,1
2,11,16
2,12,2
2,13,43
2,15,3
2,16,1
2,18,2
2,19,2
2,20,2
2,23,4
2,24,3
2,25,2
2,26,1
2,27,1
2,28,9
2,29,4
2,30,5
2,31,3
2,32,2
2,33,2
3,4,4
3,5,5
3,6,2
3,7,3
3,8,3
3,9,3
3,10,2
3,11,5
3,12,3
3,13,3
3,23,1
4,5,2
4,6,1
4,7,2
4,8,1
4,9,1
4,10,1
4,11,5
4,12,1
4,13,4
5,6,2
5,7,3
5,8,3
5,9,2
5,10,2
5,11,3
5,12,2
5,13,2
5,23,2
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,23,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,1
8,23,1
8,9,2
8,10,2
8,11,2
8,12,2
9,10,4
9,11,11
9,12,10
9,13,6
9,34,1
9,23,3
9,24,2
9,28,1
10,34,2
10,11,4
10,12,4
10,13,1
10,23,1
10,24,1
11,12,11
11,13,24
11,14,1
11,15,1
11,17,1
11,21,9
11,22,7
11,23,13
11,24,9
11,28,3
11,32,1
11,33,1
11,34,1
12,13,5
12,34,1
12,23,1
12,24,1
13,15,3
13,16,1
13,18,3
13,19,2
13,20,2
13,23,4
13,24,3
13,25,3
13,26,1
13,27,1
13,28,7
13,29,3
13,30,4
13,31,3
13,32,2
13,33,2
15,16,1
15,33,2
15,32,2
15,24,1
15,23,1
18,19,1
18,20,1
19,20,2
21,24,2
21,22,5
21,23,5
22,23,2
23,32,1
23,33,1
23,24,8
24,32,1
24,33,1
25,31,1
25,26,1
25,27,1
25,28,1
25,30,1
25,29,1
26,27,1
28,31,2
28,30,3
28,29,3
29,30,4
29,31,4
30,31,3
32,33,2
