Id,name,value,colour
0,COUNT DOOKU,20,#808080
1,R2-D2,21,#bde0f6
2,PADME,51,#DDA0DD
3,JAR JAR,10,#9a9a00
4,CAPTAIN TYPHO,8,#808080
5,EMPEROR,9,#191970
6,SENATOR ASK AAK,3,#808080
7,ORN FREE TAA,4,#808080
8,BAIL ORGANA,4,#808080
9,MACE WINDU,14,#808080
10,KI-ADI-MUNDI,8,#808080
11,OBI-WAN,66,#48D1CC
12,YODA,15,#9ACD32
13,ANAKIN,62,#ce3b59
14,PK-4,2,#808080
15,NUTE GUNRAY,4,#808080
16,SIO BIBBLE,2,#808080
17,QUI-GON,2,#4f4fb1
18,RUWEE,4,#808080
19,JOBAL,3,#808080
20,SOLA,3,#808080
21,TAUN WE,10,#808080
22,LAMA SU,8,#808080
23,JANGO FETT,16,#808080
24,BOBA FETT,10,#808080
25,SHMI,4,#808080
26,WATTO,2,#808080
27,SNAP,2,#808080
28,C-3PO,13,#FFD700
29,BERU,7,#808080
30,OWEN,6,#808080
31,CLIEGG,5,#808080
32,POGGLE,3,#808080
33,SUN RIT,3,#808080
34,PLO KOON,3,#808080
