Id,name,value,colour
0,R2-D2,31,#bde0f6
1,ANAKIN,54,#ce3b59
2,OBI-WAN,60,#48D1CC
3,ODD BALL,5,#808080
4,GENERAL GRIEVOUS,13,#808080
5,EMPEROR,25,#191970
6,COUNT DOOKU,3,#808080
7,BAIL ORGANA,21,#808080
8,C-3PO,16,#FFD700
9,PADME,24,#DDA0DD
10,YODA,24,#9ACD32
11,FANG ZAR,4,#808080
12,MON MOTHMA,4,#808080
13,GIDDEAN DANU,3,#808080
14,MACE WINDU,8,#808080
15,CAPTAIN TYPHO,4,#808080
16,CLONE COMMANDER GREE,5,#808080
17,CLONE COMMANDER CODY,5,#808080
18,JAR JAR,3,#9a9a00
19,TION MEDON,4,#808080
20,NUTE GUNRAY,6,#808080
21,PLO KOON,3,#808080
22,CAPTAIN ANTILLES,4,#808080
23,DARTH VADER,5,#000000
24,QUI-GON,3,#4f4fb1
