source,target,value
0,1,32
0,2,2
0,4,22
0,5,1
0,8,47
0,12,21
0,13,2
0,14,1
0,15,12
0,17,1
0,18,41
0,19,4
0,20,5
0,21,2
0,22,2
0,23,8
0,24,11
0,26,3
0,27,2
0,29,1
0,30,1
0,32,9
0,33,2
0,34,9
0,35,1
0,36,2
0,38,2
0,39,1
0,40,3
0,43,1
0,44,1
0,45,3
0,48,3
0,50,3
0,51,1
0,52,2
0,53,3
0,54,1
0,55,1
0,57,2
0,58,1
0,63,1
0,66,8
0,69,2
0,70,1
0,71,7
0,72,2
0,82,8
0,83,2
0,86,1
0,87,4
0,88,1
1,65,1
1,2,17
1,3,2
1,4,13
1,69,23
1,8,28
1,12,5
1,66,34
1,18,24
1,20,3
1,87,5
1,24,55
1,68,1
1,26,2
1,29,4
1,34,5
1,36,3
1,40,1
1,72,18
1,50,2
1,51,1
2,66,32
2,3,8
2,69,48
2,103,2
2,8,6
2,96,20
2,98,13
2,93,2
2,79,1
2,48,2
2,72,77
2,87,20
2,24,39
2,95,1
2,29,3
2,94,3
2,101,1
3,96,15
3,101,1
3,97,1
3,72,9
3,103,3
3,98,17
3,24,3
3,92,2
3,93,8
3,69,3
4,5,1
4,7,1
4,8,26
4,12,1
4,13,9
4,14,2
4,15,22
4,17,2
4,18,16
4,19,2
4,20,6
4,21,2
4,22,2
4,23,8
4,24,1
4,26,2
4,27,2
4,29,1
4,30,1
4,31,1
4,32,2
4,33,2
4,34,3
4,35,1
4,36,1
5,37,1
5,7,1
5,8,1
5,9,1
5,10,8
5,11,1
5,12,6
5,14,2
5,18,2
5,53,1
5,54,2
5,55,2
5,25,3
5,58,1
6,8,1
6,7,1
7,8,1
7,9,1
8,64,1
8,12,5
8,13,7
8,14,1
8,15,15
8,17,2
8,18,9
8,19,3
8,66,22
8,23,1
8,24,9
8,69,1
8,32,9
8,33,1
8,34,20
8,36,8
8,40,2
8,41,1
8,46,5
8,47,6
8,48,1
8,49,1
8,53,3
8,54,1
8,55,1
8,72,10
8,57,2
8,58,2
8,63,2
9,11,1
10,25,1
10,11,2
10,12,3
12,66,3
12,13,3
12,14,1
12,15,5
12,18,5
12,24,2
12,25,3
12,31,2
12,32,3
12,33,1
12,34,2
12,36,6
12,37,1
12,41,2
12,42,2
12,53,2
13,17,1
13,18,7
13,19,2
13,14,3
13,15,7
14,18,1
14,15,1
15,16,2
15,17,2
15,18,10
15,19,1
15,21,2
15,23,3
15,26,1
15,27,1
15,28,2
15,29,1
15,31,1
15,32,1
15,34,1
15,36,1
15,37,1
15,40,1
15,41,1
15,42,1
17,18,2
18,20,3
18,21,2
18,22,1
18,23,5
18,24,12
18,26,1
18,28,1
18,29,1
18,32,2
18,34,1
18,36,5
18,40,2
18,43,1
18,44,1
18,45,1
18,50,4
18,51,1
18,52,2
18,53,3
18,54,1
18,55,1
18,59,2
18,60,2
18,61,1
19,38,4
19,39,2
20,24,1
20,26,1
21,23,1
21,29,1
23,26,1
23,29,1
24,69,49
24,65,1
24,76,1
24,66,29
24,79,1
24,80,1
24,87,8
24,68,1
24,26,1
24,91,2
24,29,3
24,96,1
24,34,1
24,36,3
24,90,2
24,40,2
24,105,2
24,93,2
24,48,1
24,72,54
24,50,4
24,51,3
24,52,1
24,89,2
24,104,1
24,60,1
25,37,1
26,27,1
27,30,1
28,29,1
29,72,1
29,66,2
29,89,1
29,90,1
30,72,1
31,36,1
32,33,4
32,34,16
32,35,1
32,41,1
32,53,2
32,36,2
32,63,1
33,34,4
33,35,1
33,56,1
33,36,1
34,66,6
34,35,1
34,41,1
34,53,2
34,36,8
34,62,1
34,63,1
36,65,2
36,41,1
36,59,2
36,60,2
36,61,1
38,39,2
41,42,1
43,44,2
43,45,1
44,45,1
46,48,2
46,49,1
46,47,2
48,49,3
48,69,1
48,87,2
48,72,1
48,82,1
49,53,1
50,51,4
50,52,2
50,66,3
51,52,1
51,66,3
51,69,1
53,54,1
53,55,1
54,55,2
59,60,2
59,61,1
60,91,1
60,69,1
60,87,1
60,72,1
60,66,1
60,61,1
66,67,2
66,68,4
66,69,26
66,72,43
66,73,1
66,74,1
66,75,4
66,76,3
66,77,1
66,81,1
66,84,3
66,87,6
66,89,1
66,98,1
66,91,1
67,68,2
68,69,1
68,74,1
68,75,2
68,76,3
69,70,1
69,71,1
69,72,69
69,76,1
69,79,4
69,80,1
69,87,12
69,90,1
69,91,2
69,93,3
69,96,3
69,98,1
69,104,1
69,105,2
70,71,2
72,79,3
72,81,1
72,87,12
72,90,1
72,91,2
72,95,2
72,96,23
72,98,17
72,101,2
72,103,4
72,104,1
72,105,1
72,93,2
72,94,3
73,74,1
73,75,1
74,75,1
74,76,1
75,85,2
75,87,6
75,91,1
75,76,3
76,77,1
82,83,2
82,86,1
87,91,5
91,96,1
91,105,1
91,104,1
91,93,1
92,93,3
92,94,1
92,95,1
93,96,11
93,104,2
93,105,1
93,106,1
93,108,3
93,109,2
93,110,2
93,94,2
93,95,1
94,96,2
94,99,5
94,100,2
94,98,4
94,102,2
94,95,1
95,96,3
95,99,1
96,98,29
96,101,1
96,103,2
96,104,1
96,105,1
97,98,2
98,101,1
98,103,2
99,107,1
99,100,1
99,102,3
104,105,1
104,109,1
106,108,1
106,109,1
106,110,1
108,110,2
108,109,2
109,110,2
