source,target,value
0,1,17
0,2,2
0,3,13
0,69,1
0,70,23
0,7,28
0,73,18
0,11,5
0,66,2
0,17,24
0,19,3
0,20,30
0,24,55
0,26,2
0,29,4
0,34,5
0,36,3
0,65,1
0,40,1
0,67,34
0,50,2
0,51,1
0,88,5
1,48,2
1,2,8
1,67,32
1,97,20
1,102,1
1,70,48
1,7,6
1,104,2
1,73,77
1,66,2
1,96,1
1,80,1
1,88,20
1,99,13
1,24,39
1,29,3
1,94,2
1,95,3
2,98,1
2,99,17
2,102,1
2,70,3
2,97,15
2,104,3
2,73,9
2,24,3
2,93,2
2,94,8
3,4,1
3,6,1
3,7,26
3,11,1
3,12,9
3,13,2
3,14,22
3,16,2
3,17,16
3,18,2
3,19,6
3,20,22
3,21,2
3,22,2
3,23,8
3,24,1
3,26,2
3,27,2
3,29,1
3,30,1
3,31,1
3,32,2
3,33,2
3,34,3
3,35,1
3,36,1
4,37,1
4,6,1
4,7,1
4,8,1
4,9,8
4,10,1
4,11,6
4,13,2
4,17,2
4,20,1
4,53,1
4,54,2
4,55,2
4,25,3
4,58,1
5,6,1
5,7,1
6,8,1
6,7,1
7,66,1
7,64,1
7,73,10
7,11,5
7,12,7
7,13,1
7,14,15
7,16,2
7,17,9
7,18,3
7,67,22
7,20,46
7,23,1
7,24,9
7,32,9
7,33,1
7,34,20
7,36,8
7,70,1
7,40,2
7,41,1
7,46,5
7,47,6
7,48,1
7,49,1
7,53,3
7,54,1
7,55,1
7,57,2
7,58,2
7,63,2
8,10,1
9,25,1
9,10,2
9,11,3
11,66,7
11,12,3
11,13,1
11,14,5
11,17,5
11,67,3
11,20,14
11,24,2
11,25,3
11,31,2
11,32,3
11,33,1
11,34,2
11,36,6
11,37,1
11,41,2
11,42,2
11,53,2
12,16,1
12,17,7
12,18,2
12,20,2
12,13,3
12,14,7
13,17,1
13,20,1
13,14,1
14,15,2
14,16,2
14,17,10
14,18,1
14,20,12
14,21,2
14,23,3
14,26,1
14,27,1
14,28,2
14,29,1
14,31,1
14,32,1
14,34,1
14,36,1
14,37,1
14,40,1
14,41,1
14,42,1
16,17,2
16,20,1
17,19,3
17,20,41
17,21,2
17,22,1
17,23,5
17,24,12
17,26,1
17,28,1
17,29,1
17,32,2
17,34,1
17,36,5
17,40,2
17,43,1
17,44,1
17,45,1
17,50,4
17,51,1
17,52,2
17,53,3
17,54,1
17,55,1
17,59,2
17,60,2
17,61,1
18,20,4
18,38,4
18,39,2
19,20,5
19,24,1
19,26,1
20,66,1
20,67,1
20,21,2
20,22,2
20,23,8
20,24,10
20,26,3
20,27,2
20,29,1
20,30,1
20,32,9
20,33,2
20,34,9
20,35,1
20,36,2
20,38,2
20,39,1
20,40,3
20,43,1
20,44,1
20,45,3
20,50,3
20,51,1
20,52,2
20,53,3
20,54,1
20,55,1
20,57,2
20,58,1
20,63,1
21,23,1
21,29,1
23,26,1
23,29,1
24,66,1
24,69,1
24,70,49
24,73,54
24,77,1
24,80,1
24,88,8
24,26,1
24,91,2
24,92,2
24,90,2
24,94,2
24,97,1
24,34,1
24,36,3
24,65,1
24,81,1
24,40,2
24,105,1
24,106,2
24,67,29
24,29,3
24,48,1
24,50,4
24,51,3
24,52,1
24,60,1
25,37,1
26,27,1
27,30,1
28,29,1
29,73,1
29,67,2
29,90,1
29,91,1
30,73,1
31,36,1
32,33,4
32,34,16
32,36,2
32,41,1
32,35,1
32,53,2
32,63,1
33,34,4
33,35,1
33,56,1
33,36,1
34,67,6
34,36,8
34,41,1
34,35,1
34,53,2
34,62,1
34,63,1
36,65,2
36,41,1
36,59,2
36,60,2
36,61,1
38,39,2
41,42,1
43,45,1
43,44,2
44,45,1
46,48,2
46,49,1
46,47,2
48,66,3
48,83,1
48,49,3
48,88,2
48,73,1
48,70,1
49,53,1
50,67,3
50,51,4
50,52,2
51,67,3
51,70,1
51,52,1
53,54,1
53,55,1
54,55,2
59,61,1
59,60,2
60,67,1
60,70,1
60,88,1
60,73,1
60,92,1
60,61,1
66,67,7
66,70,2
66,71,1
66,72,7
66,73,2
66,83,8
66,84,2
66,87,1
66,88,4
66,89,1
67,68,2
67,69,4
67,70,26
67,73,43
67,74,1
67,75,1
67,76,4
67,77,3
67,78,1
67,82,1
67,85,3
67,88,6
67,90,1
67,92,1
67,99,1
68,69,2
69,70,1
69,75,1
69,76,2
69,77,3
70,72,1
70,73,69
70,77,1
70,80,4
70,81,1
70,91,1
70,92,2
70,94,3
70,97,3
70,99,1
70,105,1
70,106,2
70,71,1
70,88,12
71,72,2
73,80,3
73,82,1
73,88,12
73,91,1
73,92,2
73,95,3
73,96,2
73,97,23
73,99,17
73,102,2
73,104,4
73,105,1
73,106,1
73,94,2
74,75,1
74,76,1
75,76,1
75,77,1
76,86,2
76,88,6
76,92,1
76,77,3
77,78,1
83,84,2
83,87,1
88,92,5
92,97,1
92,105,1
92,106,1
92,94,1
93,96,1
93,94,3
93,95,1
94,96,1
94,97,11
94,105,2
94,106,1
94,107,1
94,109,3
94,110,2
94,111,2
94,95,2
95,96,1
95,99,4
95,100,5
95,101,2
95,103,2
95,97,2
96,100,1
96,97,3
97,99,29
97,102,1
97,104,2
97,105,1
97,106,1
98,99,2
99,102,1
99,104,2
100,103,3
100,108,1
100,101,1
105,110,1
105,106,1
107,109,1
107,110,1
107,111,1
109,110,2
109,111,2
110,111,2
