source,target,value
0,1,1
0,3,1
0,4,26
0,8,1
0,9,9
0,10,2
0,11,22
0,13,2
0,14,16
0,15,2
0,16,6
0,17,22
0,18,2
0,19,2
0,20,8
0,21,1
0,23,2
0,24,2
0,26,1
0,27,1
0,28,1
0,29,2
0,30,2
0,31,3
0,32,1
0,33,1
1,34,1
1,3,1
1,4,1
1,5,1
1,6,8
1,7,1
1,8,6
1,10,2
1,14,2
1,17,1
1,50,1
1,51,2
1,52,2
1,22,3
1,55,1
2,3,1
2,4,1
3,4,1
3,5,1
4,70,10
4,8,5
4,9,7
4,10,1
4,11,15
4,13,2
4,14,9
4,15,3
4,17,46
4,67,1
4,20,1
4,21,9
4,29,9
4,30,1
4,31,20
4,33,8
4,37,2
4,38,1
4,64,22
4,43,5
4,44,6
4,45,1
4,46,1
4,50,3
4,51,1
4,52,1
4,54,2
4,55,2
4,60,2
4,61,1
4,63,1
5,7,1
6,8,3
6,22,1
6,7,2
8,64,3
8,9,3
8,10,1
8,11,5
8,14,5
8,17,14
8,21,2
8,22,3
8,28,2
8,29,3
8,30,1
8,31,2
8,33,6
8,34,1
8,38,2
8,39,2
8,50,2
8,63,7
9,17,2
9,10,3
9,11,7
9,13,1
9,14,7
9,15,2
10,17,1
10,11,1
10,14,1
11,12,2
11,13,2
11,14,10
11,15,1
11,17,12
11,18,2
11,20,3
11,23,1
11,24,1
11,25,2
11,26,1
11,28,1
11,29,1
11,31,1
11,33,1
11,34,1
11,37,1
11,38,1
11,39,1
13,17,1
13,14,2
14,16,3
14,17,41
14,18,2
14,19,1
14,20,5
14,21,12
14,23,1
14,25,1
14,26,1
14,29,2
14,31,1
14,33,5
14,37,2
14,40,1
14,41,1
14,42,1
14,47,4
14,48,1
14,49,2
14,50,3
14,51,1
14,52,1
14,56,2
14,57,2
14,58,1
15,17,4
15,35,4
15,36,2
16,17,5
16,21,1
16,23,1
17,64,1
17,18,2
17,19,2
17,20,8
17,21,10
17,23,3
17,24,2
17,26,1
17,27,1
17,29,9
17,30,2
17,31,9
17,32,1
17,33,2
17,35,2
17,36,1
17,37,3
17,40,1
17,41,1
17,42,3
17,47,3
17,48,1
17,49,2
17,50,3
17,51,1
17,52,1
17,54,2
17,55,1
17,60,1
17,63,1
18,20,1
18,26,1
20,23,1
20,26,1
21,64,29
21,66,1
21,67,49
21,70,54
21,74,1
21,87,2
21,77,1
21,78,1
21,23,1
21,88,2
21,89,2
21,26,3
21,91,2
21,94,1
21,31,1
21,33,3
21,37,2
21,103,1
21,104,2
21,45,1
21,47,4
21,48,3
21,49,1
21,57,1
21,63,1
21,62,1
21,85,8
22,34,1
23,24,1
24,27,1
25,26,1
26,64,2
26,70,1
26,87,1
26,88,1
27,70,1
28,33,1
29,33,2
29,38,1
29,32,1
29,50,2
29,60,1
29,30,4
29,31,16
30,53,1
30,33,1
30,32,1
30,31,4
31,33,8
31,38,1
31,32,1
31,64,6
31,50,2
31,59,1
31,60,1
33,38,1
33,62,2
33,56,2
33,57,2
33,58,1
35,36,2
38,39,1
40,42,1
40,41,2
41,42,1
43,44,2
43,45,2
43,46,1
45,80,1
45,67,1
45,85,2
45,70,1
45,46,3
45,63,3
46,50,1
47,48,4
47,49,2
47,64,3
48,64,3
48,67,1
48,49,1
50,51,1
50,52,1
51,52,2
56,58,1
56,57,2
57,64,1
57,67,1
57,85,1
57,70,1
57,89,1
57,58,1
63,64,7
63,67,2
63,69,7
63,70,2
63,80,8
63,81,2
63,84,1
63,85,4
63,86,1
63,68,1
64,65,2
64,66,4
64,67,26
64,70,43
64,71,1
64,72,1
64,73,4
64,74,3
64,75,1
64,79,1
64,82,3
64,87,1
64,89,1
64,85,6
65,66,2
66,67,1
66,72,1
66,73,2
66,74,3
67,69,1
67,70,69
67,103,1
67,104,2
67,74,1
67,94,3
67,77,4
67,78,1
67,89,2
67,88,1
67,68,1
67,91,3
67,85,12
68,69,2
70,77,3
70,79,1
70,88,1
70,89,2
70,91,2
70,92,3
70,93,2
70,94,23
70,96,17
70,99,2
70,101,4
70,103,1
70,104,1
70,85,12
71,72,1
71,73,1
72,73,1
72,74,1
73,83,2
73,85,6
73,89,1
73,74,3
74,75,1
80,81,2
80,84,1
85,89,5
89,104,1
89,103,1
89,91,1
89,94,1
90,91,3
90,92,1
90,93,1
91,103,2
91,104,1
91,105,1
91,107,3
91,108,2
91,109,2
91,92,2
91,93,1
91,94,11
92,96,4
92,97,5
92,98,2
92,100,2
92,93,1
92,94,2
93,97,1
93,94,3
94,96,29
94,101,2
94,103,1
94,104,1
94,99,1
95,96,2
96,99,1
96,101,2
96,102,1
97,100,3
97,98,1
97,106,1
103,104,1
103,108,1
105,107,1
105,108,1
105,109,1
107,108,2
107,109,2
108,109,2
