source,target,value
0,1,3
0,2,2
0,4,4
0,5,1
0,6,1
0,7,19
0,8,2
0,10,2
0,11,8
0,12,3
0,13,3
0,14,1
0,17,6
0,20,7
0,26,4
0,35,1
0,38,4
0,47,1
0,48,1
0,53,4
0,54,2
0,56,1
0,65,2
1,2,1
1,4,49
1,5,8
1,7,2
1,9,2
1,10,8
1,11,7
1,12,20
1,13,4
1,14,43
1,16,4
1,17,38
1,18,6
1,19,27
1,20,42
1,21,14
1,22,6
1,23,2
1,24,2
1,25,14
1,26,8
1,27,9
1,28,2
1,29,2
1,30,3
1,31,2
1,32,3
1,33,2
1,34,2
1,35,1
1,38,1
2,3,1
2,4,1
2,5,1
2,6,1
3,4,1
4,5,40
4,7,3
4,9,2
4,10,9
4,11,49
4,12,19
4,13,6
4,14,30
4,16,5
4,17,50
4,18,6
4,19,60
4,20,107
4,21,2
4,22,2
4,24,29
4,25,2
4,26,6
4,27,1
4,30,2
4,31,1
4,32,20
4,33,8
4,34,13
4,35,1
4,38,20
4,39,7
4,40,1
4,41,1
4,45,9
4,46,7
4,47,13
4,48,9
4,49,2
4,50,3
4,51,5
4,53,2
4,54,1
4,55,3
4,56,20
4,57,3
4,58,2
4,63,2
4,64,1
4,65,19
4,66,14
4,67,1
4,68,53
4,69,12
4,70,2
4,72,3
4,75,16
4,78,1
4,89,1
4,90,1
4,91,1
5,75,4
5,69,4
5,68,11
5,7,1
5,10,1
5,11,17
5,12,2
5,13,1
5,14,4
5,16,1
5,17,7
5,19,11
5,20,20
5,66,4
5,89,1
5,24,3
5,25,1
5,32,18
5,33,10
5,34,14
5,38,5
5,39,1
5,40,1
5,41,1
5,47,1
5,48,1
5,51,1
5,55,3
5,56,3
5,65,7
5,62,2
5,63,1
6,8,1
7,35,1
7,38,1
7,8,2
7,10,2
7,11,7
7,12,3
7,13,2
7,14,1
7,17,3
7,20,2
7,53,2
7,56,1
7,26,4
8,10,1
9,34,2
9,17,1
9,20,1
9,10,3
9,11,4
9,12,4
9,14,2
10,34,1
10,33,1
10,11,5
10,12,11
10,13,4
10,14,6
10,16,1
10,17,10
10,18,1
10,19,4
10,20,6
10,32,1
11,12,10
11,13,4
11,14,16
11,16,2
11,17,19
11,19,14
11,20,54
11,21,1
11,24,5
11,26,4
11,32,9
11,33,6
11,34,11
11,35,2
11,38,13
11,39,3
11,40,2
11,41,3
11,47,2
11,49,2
11,51,1
11,53,1
11,55,2
11,56,14
11,59,2
11,60,2
11,61,1
11,62,1
11,63,1
11,65,34
11,66,1
11,68,16
11,69,5
11,70,3
11,74,2
11,75,3
11,76,1
11,84,2
11,88,1
11,89,2
11,90,2
11,93,1
12,34,2
12,13,6
12,14,14
12,16,3
12,17,22
12,18,6
12,19,7
12,20,12
12,32,1
12,26,1
13,35,1
13,38,1
13,14,6
13,16,2
13,17,7
13,18,1
13,19,2
13,20,4
13,32,1
14,15,2
14,16,5
14,17,38
14,18,2
14,19,27
14,20,29
14,21,8
14,22,5
14,24,3
14,25,11
14,26,1
14,27,7
14,28,1
14,29,1
14,30,4
14,31,2
14,32,5
14,33,2
14,34,6
14,35,4
14,38,3
14,39,5
14,40,2
14,41,3
14,47,1
14,56,1
16,32,1
16,35,1
16,17,2
16,19,3
16,20,4
17,18,2
17,19,54
17,20,97
17,21,9
17,22,5
17,23,1
17,24,29
17,25,13
17,26,1
17,27,7
17,28,1
17,29,1
17,30,3
17,31,2
17,32,8
17,33,2
17,34,8
17,38,13
17,39,10
17,40,1
17,41,1
17,42,2
17,43,2
17,44,2
17,47,4
17,48,3
17,49,1
17,50,4
17,51,5
17,52,3
17,53,2
17,54,2
17,56,3
17,59,2
17,60,3
17,61,2
17,65,4
17,68,1
17,69,1
18,37,2
18,19,2
18,20,6
18,21,1
18,36,4
19,20,63
19,21,7
19,22,5
19,24,106
19,25,8
19,26,1
19,27,8
19,28,1
19,29,1
19,30,2
19,31,10
19,32,3
19,34,6
19,35,1
19,36,2
19,37,1
19,38,7
19,39,4
19,48,2
19,49,1
19,50,3
19,51,4
19,52,1
19,56,6
19,57,2
19,58,1
19,59,1
19,65,6
19,66,37
19,67,2
19,68,74
19,69,45
19,71,1
19,72,2
19,75,36
19,76,3
19,77,1
19,78,3
19,81,1
19,82,1
19,89,10
19,91,2
19,93,1
19,94,4
19,95,1
19,96,1
19,97,1
19,100,3
19,101,1
20,21,13
20,22,9
20,23,2
20,24,19
20,25,15
20,26,4
20,27,8
20,28,2
20,29,2
20,30,5
20,31,1
20,32,18
20,33,7
20,34,3
20,35,1
20,36,2
20,37,1
20,38,20
20,39,6
20,42,3
20,43,2
20,44,2
20,47,4
20,48,3
20,49,1
20,50,3
20,51,5
20,52,3
20,53,3
20,54,2
20,55,2
20,56,14
20,57,2
20,58,2
20,60,1
20,63,2
20,65,11
20,66,1
20,68,5
20,69,1
20,75,1
20,89,1
21,49,1
21,22,4
21,23,1
21,24,1
21,25,6
21,26,1
21,27,4
21,30,2
22,24,1
22,25,4
22,27,4
22,30,5
22,31,2
24,25,3
24,27,2
24,31,13
24,32,3
24,34,7
24,38,5
24,39,3
24,48,5
24,49,2
24,50,5
24,51,7
24,52,2
24,56,2
24,57,4
24,59,2
24,60,1
24,61,1
24,65,4
24,66,75
24,67,2
24,68,71
24,69,92
24,71,1
24,72,5
24,75,74
24,76,5
24,77,1
