Id,name,value,colour
0,NUTE GUNRAY,29,#808080
1,QUI-GON,87,#4f4fb1
2,TC-14,5,#808080
3,PK-4,3,#808080
4,OBI-WAN,288,#48D1CC
5,YODA,69,#9ACD32
6,DOFINE,3,#808080
7,RUNE,20,#808080
8,TEY HOW,4,#808080
9,VALORUM,6,#808080
10,RABE,15,#808080
11,EMPEROR,116,#191970
12,CAPTAIN PANAKA,34,#808080
13,SIO BIBBLE,13,#808080
14,JAR JAR,72,#9a9a00
15,TARPALS,3,#808080
16,BOSS NASS,6,#808080
17,PADME,141,#DDA0DD
18,RIC OLIE,14,#808080
19,R2-D2,224,#bde0f6
20,ANAKIN,232,#ce3b59
21,WATTO,17,#808080
22,SEBULBA,11,#808080
23,JIRA,3,#808080
24,C-3PO,197,#FFD700
25,SHMI,19,#808080
26,DARTH MAUL,18,#808080
27,KITSTER,11,#808080
28,WALD,3,#808080
29,GREEDO,5,#808080
30,FODE/BEED,11,#808080
31,JABBA,30,#808080
32,MACE WINDU,27,#808080
33,KI-ADI-MUNDI,15,#808080
34,BAIL ORGANA,33,#808080
35,GENERAL CEEL,5,#808080
36,BRAVO TWO,5,#808080
37,BRAVO THREE,3,#808080
38,COUNT DOOKU,33,#808080
39,CAPTAIN TYPHO,12,#808080
40,SENATOR ASK AAK,3,#808080
41,ORN FREE TAA,4,#808080
42,RUWEE,4,#808080
43,JOBAL,3,#808080
44,SOLA,3,#808080
45,TAUN WE,10,#808080
46,LAMA SU,8,#808080
47,JANGO FETT,16,#808080
48,BOBA FETT,23,#808080
49,SNAP,14,#808080
50,BERU,13,#808080
51,OWEN,17,#808080
52,CLIEGG,5,#808080
53,POGGLE,5,#808080
54,SUN RIT,3,#808080
55,PLO KOON,7,#808080
56,GENERAL GRIEVOUS,35,#808080
57,RED LEADER,51,#808080
58,ODD BALL,4,#808080
59,MON MOTHMA,4,#808080
60,FANG ZAR,4,#808080
61,GIDDEAN DANU,3,#808080
62,CLONE COMMANDER GREE,4,#808080
63,CLONE COMMANDER CODY,4,#808080
64,TION MEDON,3,#808080
65,DARTH VADER,147,#000000
66,CHEWBACCA,197,#A0522D
67,CAPTAIN ANTILLES,4,#808080
68,LUKE,338,#3881e5
69,LEIA,182,#DCDCDC
70,TARKIN,17,#808080
71,YOUNG GIRL,4,#808080
72,BIGGS,34,#808080
73,CAMIE,3,#808080
74,MOTTI,3,#808080
75,HAN,231,#ff9400
76,WEDGE,43,#808080
77,GOLD LEADER,25,#808080
78,DODONNA,10,#808080
79,RED TEN,12,#808080
80,GOLD FIVE,12,#808080
81,RIEEKAN,8,#808080
82,DERLIN,3,#808080
83,ZEV,8,#808080
84,PIETT,13,#808080
85,OZZEL,3,#808080
86,DACK,5,#808080
87,JANSON,5,#808080
88,NEEDA,5,#808080
89,LANDO,69,#808080
90,JERJERROD,4,#808080
91,BIB FORTUNA,7,#808080
92,BOUSHH,3,#808080
93,ADMIRAL ACKBAR,15,#808080
94,BB-8,59,#eb5d00
95,POE,46,#a15bea
96,LOR SAN TEKKA,6,#808080
97,KYLO REN,32,#000000
98,CAPTAIN PHASMA,6,#808080
99,FINN,91,#07b19f
100,REY,103,#ffe0af
101,UNKAR PLUTT,9,#808080
102,GENERAL HUX,16,#808080
103,LIEUTENANT MITAKA,3,#808080
104,SNOKE,10,#191970
105,BALA-TIK,4,#808080
106,MAZ,9,#808080
107,JESS,6,#808080
108,ADMIRAL STATURA,3,#808080
109,YOLO ZIFF,3,#808080
110,COLONEL DATOO,3,#808080
111,ELLO ASTY,4,#808080
112,NIV LEK,3,#808080
