year	tickets_sold	total_box_office	total_inflation_adjusted_box_office	average_ticket_price
2023	920551725	9693409659	9693409659	10.53
2022	708923351	7425661426	7425661513	10.53
2021	434136076	4514883350	4550274052	10.4
2020	211336307	1988111579	2206864967	9.41
2019	1227953796	11248059392	12834639525	9.16
2018	1310743154	11940872673	13700556552	9.11
2017	1225554384	10993225666	12805446219	8.97
2016	1302214022	11264154534	13607217444	8.65
2015	1323104760	11153776110	13826341733	8.43
2014	1257256418	10271788081	13138543962	8.17
2013	1339157833	10887356155	13998222902	8.129999999999999
2012	1382819090	11007242918	14428998569	7.96
2011	1282921357	10173568793	13392566578	7.930000000000001
2010	1328740719	10483766514	13884206374	7.89
2009	1418567388	10639257284	13502768765	7.5
2008	1358049103	9750794626	12503995603	7.18
2007	1420070454	9770087282	13141100414	6.88
2006	1401392669	9179124447	12880889843	6.55
2005	1372980280	8800805718	12628805523	6.41
2004	1495310788	9285881957	13757761013	6.21
2003	1524589620	9193277289	14020793624	6.03
2002	1575756527	9155147215	14455308177	5.81
2001	1465875103	8296854718	13510159755	5.659999999999999
2000	1397460079	7532311479	12889354948	5.39
1999	1444664086	7338894852	13307860379	5.08
1998	1443554850	6770273245	13331532293	4.6899999999999995
1997	1357386547	6230405144	12562545993	4.59
1996	1305224361	5769092462	11980674564	4.42
1995	1221735652	5314550785	11271799314	4.35
