century;male;female;unknown;unisex;total;begindate;enddate
8th BC;149;32;20;9;202;-800;-700
7th BC;600;287;61;53;1000;-700;-600
6th BC;785;325;72;70;1251;-600;-500
5th BC;283;66;31;25;404;-500;-400
4th BC;608;201;51;21;879;-400;-300
3rd BC;3840;904;287;91;5112;-300;-200
2nd BC;4091;836;338;96;5359;-200;-100
1rst BC;2684;493;193;64;3433;-100;0
1rst AD;3985;994;380;77;5435;0;100
2nd AD;6507;1901;828;95;9329;100;200
3rd AD;4368;1261;538;74;6239;200;300
4th AD;3306;615;409;45;4374;300;400
5th AD;1341;226;132;20;1717;400;500
6th AD;1658;365;239;24;2284;500;600
7th AD ;1329;270;259;17;1873;600;700
8th AD;1053;306;183;16;1556;700;800
