century;region;total_count;female_count;latitude;longitude
3rd AD;Egypt, 10th Lower Egyptian nome, Athribites [L10];10;3;30.47243;31.184479
1st AD;Egypt, 10th Lower Egyptian nome, Athribites [L10];15;3;30.47243;31.184479
2nd BC;Egypt, 10th Lower Egyptian nome, Athribites [L10];17;2;30.47243;31.184479
2nd AD;Egypt, 10th Lower Egyptian nome, Athribites [L10];20;4;30.47243;31.184479
4th BC;Egypt, 10th Lower Egyptian nome, Athribites [L10];45;10;30.47243;31.184479
4th AD;Egypt, 10th Lower Egyptian nome, Athribites [L10];6;0;30.47243;31.184479
3rd BC;Egypt, 10th Lower Egyptian nome, Athribites [L10];9;1;30.47243;31.184479
5th AD;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];10;0;26.8992835;31.517443
1st BC;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];2;0;26.8992835;31.517443
2nd BC;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];27;3;26.8992835;31.517443
6th AD;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];2875;201;26.8992835;31.517443
3rd AD;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];31;1;26.8992835;31.517443
4th BC;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];4;1;26.8992835;31.517443
2nd AD;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];46;10;26.8992835;31.517443
4th AD;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];5;0;26.8992835;31.517443
3rd BC;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];6;1;26.8992835;31.517443
1st AD;Egypt, 10th Upper Egyptian nome, Antaiopolites [U10a];6;2;26.8992835;31.517443
6th AD;Egypt, 10th Upper Egyptian nome, Apollonopolites [U10b];29;2;26.937588;31.326702
3rd AD;Egypt, 10th Upper Egyptian nome, Apollonopolites [U10b];4;0;26.937588;31.326702
2nd AD;Egypt, 10th Upper Egyptian nome, Apollonopolites [U10b];535;88;26.937588;31.326702
5th AD;Egypt, 10th Upper Egyptian nome, Apollonopolites [U10b];6;0;26.937588;31.326702
3rd BC;Egypt, 11th Lower Egyptian nome, Leontopolites [L11];2;0;30.683333;31.35
1st BC;Egypt, 11th Lower Egyptian nome, Leontopolites [L11];2;0;30.683333;31.35
3rd AD;Egypt, 11th Lower Egyptian nome, Leontopolites [L11];208;46;30.683333;31.35
4th BC;Egypt, 11th Lower Egyptian nome, Leontopolites [L11];3;1;30.683333;31.35
4th AD;Egypt, 11th Lower Egyptian nome, Leontopolites [L11];3;1;30.683333;31.35
2nd BC;Egypt, 11th Lower Egyptian nome, Leontopolites [L11];9;0;30.683333;31.35
4th AD;Egypt, 11th Upper Egyptian nome, Hypselites [U11];17;0;27.146592;31.234697
2nd BC;Egypt, 11th Upper Egyptian nome, Hypselites [U11];18;0;27.146592;31.234697
2nd AD;Egypt, 11th Upper Egyptian nome, Hypselites [U11];34;1;27.146592;31.234697
2nd BC;Egypt, 12th Lower Egyptian nome, Sebennytes [L12];11;1;30.962841;31.239569
3rd AD;Egypt, 12th Lower Egyptian nome, Sebennytes [L12];19;2;30.962841;31.239569
4th BC;Egypt, 12th Lower Egyptian nome, Sebennytes [L12];3;0;30.962841;31.239569
2nd AD;Egypt, 12th Lower Egyptian nome, Sebennytes [L12];30;2;30.962841;31.239569
3rd AD;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];18;0;30.131757;31.284786
1st AD;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];26;5;30.131757;31.284786
2nd AD;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];26;4;30.131757;31.284786
1st BC;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];29;11;30.131757;31.284786
3rd BC;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];4;0;30.131757;31.284786
4th BC;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];6;1;30.131757;31.284786
4th AD;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];7;0;30.131757;31.284786
2nd BC;Egypt, 13th Lower Egyptian nome, Heliopolites [L13];3;0;30.131757;31.284786
1st BC;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];1;0;27.181346;31.1825335
2nd BC;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];1129;181;27.181346;31.1825335
4th BC;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];2;1;27.181346;31.1825335
3rd BC;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];2;1;27.181346;31.1825335
5th AD;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];21;3;27.181346;31.1825335
1st AD;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];483;123;27.181346;31.1825335
2nd AD;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];56;4;27.181346;31.1825335
3rd AD;Egypt, 13th Upper Egyptian nome, Lykopolites [U13];61;5;27.181346;31.1825335
