"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1168.6","false","8","kg","1168.6","false","1168.6","false","0","false","28464.536",,"28464.536","0","false","true",
"C","A","20220101","2022","52","2022","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","162375.988","false","8","kg","162375.988","false","162375.988","false","0","false","272917.523","250124.096","272917.523","0","false","true",
"C","A","20220101","2022","52","2022","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32709.64","false","5","u","6317","false","32709.64","false","0","false","84848.77",,"84848.77","0","false","true",
"C","A","20220101","2022","52","2022","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","113316.35","false","8","kg","113316.35","false","113316.35","false","0","false","453178.22",,"453178.22","0","false","true",
"C","A","20220101","2022","52","2022","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41162.96","false","8","kg","41162.96","false","41162.96","false","0","false","239346.31","212027.23","239346.31","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","382875.283","false","8","kg","382875.283","false","382875.283","false","0","false","3634536.269","3333618.898","3634536.269","0","false","true",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","371525","false","8","kg","371525","false","371525","false","0","false","2147799.039",,"2147799.039","0","false","true",
"C","A","20220101","2022","52","2022","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20028.355","false","8","kg","20028.355","false","20028.355","false","0","false","185957",,"185957","0","false","true",
"C","A","20220101","2022","52","2022","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23709.76","false","8","kg","23709.76","false","23709.76","false","0","false","629305.078",,"629305.078","0","false","true",
"C","A","20220101","2022","52","2022","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","63235.525","false","8","kg","63235.525","false","63235.525","false","0","false","252305.14","0","252305.14","0","false","true",
"C","A","20220101","2022","52","2022","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","172202.19","true","-1","N/A","0","false","172202.19","true","0","false","651178",,"651178","6","false","true",
"C","A","20220101","2022","52","2022","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","247543.92","false","8","kg","247543.92","false","247543.92","false","0","false","1828930.29",,"1828930.29","0","false","true",
"C","A","20220101","2022","52","2022","60","BMU","Bermuda","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6813.67","false","8","kg","6813.67","false","6813.67","false","0","false",,"78724.16","78724.16","0","false","true",
"C","A","20220101","2022","52","2022","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","24086","21175","24086","0","false","true",
"C","A","20220101","2022","52","2022","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28357.78","false","8","kg","28357.78","false","28357.78","false","0","false","147824.64",,"147824.64","0","false","true",
"C","A","20220101","2022","52","2022","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","136047.51","false","8","kg","136047.51","false","112361.147","false","0","false","575407.05",,"575407.05","0","false","true",
"C","A","20220101","2022","52","2022","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","175077","false","8","kg","175077","false","175077","false","0","false","523538","464800","523538","0","false","true",
"C","A","20220101","2022","52","2022","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5693.01","true","5","u","1585","false","5693.01","true","0","false","32722.535",,"32722.535","6","false","true",
"C","A","20220101","2022","52","2022","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20965.301","true","8","kg","20871","false","20965.301","true","0","false","292302.208",,"292302.208","6","false","true",
"C","A","20220101","2022","52","2022","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12090.749","true","-1","N/A","0","false","12090.749","true","0","false","208179.842",,"208179.842","6","false","true",
"C","A","20220101","2022","52","2022","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6107.7","false","8","kg","6107.7","false","6107.7","false","0","false","55926.8",,"55926.8","0","false","true",
"C","A","20220101","2022","52","2022","108","BDI","Burundi","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1459","false","8","kg","1459","false","1459","false","0","false","1407.232",,"1407.232","0","false","true",
"C","A","20220101","2022","52","2022","116","KHM","Cambodia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80827.99","false","8","kg","80827.99","false","80827.99","false","0","false","588798.07",,"588798.07","0","false","true",
