wals code;name;value;description;latitude;longitude;genus;family;area
xoo;!Xóõ;2;Words derived from Min Nan Chinese te;-24;21.5;Tu;Tu;Lexicon
abz;Abaza;1;Words derived from Sinitic cha;44;42;Northwest Caucasian;Northwest Caucasian;Lexicon
ace;Acehnese;2;Words derived from Min Nan Chinese te;5.5;95.5;Malayo-Sumbawan;Austronesian;Lexicon
afr;Afrikaans;2;Words derived from Min Nan Chinese te;-31;22;Germanic;Indo-European;Lexicon
aht;Ahtna;1;Words derived from Sinitic cha;62;-145;Athapaskan;Na-Dene;Lexicon
abm;Alabama;3;Others;32.33333333;-87.41666667;Muskogean;Muskogean;Lexicon
alb;Albanian;1;Words derived from Sinitic cha;41;20;Albanian;Indo-European;Lexicon
alt;Alsatian;2;Words derived from Min Nan Chinese te;48.5;7.5;Germanic;Indo-European;Lexicon
amh;Amharic;1;Words derived from Sinitic cha;10;38;Semitic;Afro-Asiatic;Lexicon
aeg;Arabic (Egyptian);1;Words derived from Sinitic cha;30;31;Semitic;Afro-Asiatic;Lexicon
arm;Armenian (Eastern);2;Words derived from Min Nan Chinese te;40;45;Armenian;Indo-European;Lexicon
ass;Assamese;1;Words derived from Sinitic cha;26;93;Indic;Indo-European;Lexicon
ast;Asturian;2;Words derived from Min Nan Chinese te;43.25;-6;Romance;Indo-European;Lexicon
ata;Atayal;3;Others;24.5;121.3333333;Atayalic;Austronesian;Lexicon
aze;Azerbaijani;1;Words derived from Sinitic cha;40.5;48.5;Turkic;Altaic;Lexicon
bdg;Badaga;2;Words derived from Min Nan Chinese te;11.66666667;76.75;Dravidian;Dravidian;Lexicon
bal;Balinese;2;Words derived from Min Nan Chinese te;-8.333333333;115.25;Malayo-Sumbawan;Austronesian;Lexicon
blc;Baluchi;1;Words derived from Sinitic cha;28;62;Iranian;Indo-European;Lexicon
bam;Bambara;3;Others;12.5;-7.5;Western Mande;Mande;Lexicon
bsk;Bashkir;1;Words derived from Sinitic cha;53;58;Turkic;Altaic;Lexicon
bsq;Basque;1;Words derived from Sinitic cha;43;-3;Basque;Basque;Lexicon
blr;Belorussian;1;Words derived from Sinitic cha;54;28;Slavic;Indo-European;Lexicon
ben;Bengali;1;Words derived from Sinitic cha;24;90;Indic;Indo-European;Lexicon
bma;Berber (Middle Atlas);3;Others;33;-5;Berber;Afro-Asiatic;Lexicon
bre;Breton;2;Words derived from Min Nan Chinese te;48;-3;Celtic;Indo-European;Lexicon
bru;Bru (Eastern);2;Words derived from Min Nan Chinese te;17.33333333;106;Katuic;Austro-Asiatic;Lexicon
bul;Bulgarian;1;Words derived from Sinitic cha;42.5;25;Slavic;Indo-European;Lexicon
but;Buriat;1;Words derived from Sinitic cha;52;108;Mongolic;Altaic;Lexicon
